GeneLocation,APOL6-35648376,APOL5-35713630,APOL4-36189127,APOL2-36226208,APOL1-36253070,APOE-44905781,APOC1-44914319,APOH-66212028,APOA5-116789366,APOC3-116829907,APOA1-116835750,APOD-195568701
APOL6-35648376,21,7,3,6,6,4,3,4,5,3,4,4
APOL5-35713630,7,21,4,7,6,5,4,4,4,3,4,4
APOL4-36189127,3,4,21,5,5,3,4,4,4,3,4,3
APOL2-36226208,6,7,5,21,21,4,4,4,4,3,4,4
APOL1-36253070,6,6,5,21,21,5,6,4,4,3,4,5
APOE-44905781,4,5,3,4,5,21,3,3,4,3,4,5
APOC1-44914319,3,4,4,4,6,3,21,3,3,3,4,3
APOH-66212028,4,4,4,4,4,3,3,21,4,3,4,4
APOA5-116789366,5,4,4,4,4,4,3,4,21,4,6,4
APOC3-116829907,3,3,3,3,3,3,3,3,4,21,4,3
APOA1-116835750,4,4,4,4,4,4,4,4,6,4,21,4
APOD-195568701,4,4,3,4,5,5,3,4,4,3,4,21
